Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
earthy-shade,Earthy Shade,Size,53x72,Print Type,Gallery Wrapped Canvas,,,EARTHY-SHADE-GALLERY-WRAPPED-CANVAS-53X72,,,170 Avenue F,,,,45,45
earthy-shade,Earthy Shade,Size,53x72,Print Type,Gallery Wrapped Canvas,,,EARTHY-SHADE-GALLERY-WRAPPED-CANVAS-53X72,,,Printful,,,,not stocked,not stocked
earthy-weave,Earthy Weave,Size,24x36,Print Type,Canvas Roll,,,EARTHY-WEAVE-CANVAS-ROLL-24X36,,,170 Avenue F,,,,150,150
earthy-weave,Earthy Weave,Size,24x36,Print Type,Canvas Roll,,,EARTHY-WEAVE-CANVAS-ROLL-24X36,,,Printful,,,,not stocked,not stocked
earthy-weave,Earthy Weave,Size,36x48,Print Type,Canvas Roll,,,EARTHY-WEAVE-CANVAS-ROLL-36X48,,,170 Avenue F,,,,105,105
earthy-weave,Earthy Weave,Size,36x48,Print Type,Canvas Roll,,,EARTHY-WEAVE-CANVAS-ROLL-36X48,,,Printful,,,,not stocked,not stocked
earthy-weave,Earthy Weave,Size,53x72,Print Type,Canvas Roll,,,EARTHY-WEAVE-CANVAS-ROLL-53X72,,,170 Avenue F,,,,45,45
earthy-weave,Earthy Weave,Size,53x72,Print Type,Canvas Roll,,,EARTHY-WEAVE-CANVAS-ROLL-53X72,,,Printful,,,,not stocked,not stocked
earthy-weave,Earthy Weave,Size,24x36,Print Type,Gallery Wrapped Canvas,,,EARTHY-WEAVE-GALLERY-WRAPPED-CANVAS-24X36,,,170 Avenue F,,,,150,150
earthy-weave,Earthy Weave,Size,24x36,Print Type,Gallery Wrapped Canvas,,,EARTHY-WEAVE-GALLERY-WRAPPED-CANVAS-24X36,,,Printful,,,,not stocked,not stocked
earthy-weave,Earthy Weave,Size,36x48,Print Type,Gallery Wrapped Canvas,,,EARTHY-WEAVE-GALLERY-WRAPPED-CANVAS-36X48,,,170 Avenue F,,,,105,105
earthy-weave,Earthy Weave,Size,36x48,Print Type,Gallery Wrapped Canvas,,,EARTHY-WEAVE-GALLERY-WRAPPED-CANVAS-36X48,,,Printful,,,,not stocked,not stocked
earthy-weave,Earthy Weave,Size,53x72,Print Type,Gallery Wrapped Canvas,,,EARTHY-WEAVE-GALLERY-WRAPPED-CANVAS-53X72,,,170 Avenue F,,,,45,45
earthy-weave,Earthy Weave,Size,53x72,Print Type,Gallery Wrapped Canvas,,,EARTHY-WEAVE-GALLERY-WRAPPED-CANVAS-53X72,,,Printful,,,,not stocked,not stocked
emerald-shade,Emerald Shade,Size,24x36,Print Type,Canvas Roll,,,EMERALD-SHADE-CANVAS-ROLL-24X36,,,170 Avenue F,,,,150,150
emerald-shade,Emerald Shade,Size,24x36,Print Type,Canvas Roll,,,EMERALD-SHADE-CANVAS-ROLL-24X36,,,Printful,,,,not stocked,not stocked
emerald-shade,Emerald Shade,Size,36x48,Print Type,Canvas Roll,,,EMERALD-SHADE-CANVAS-ROLL-36X48,,,170 Avenue F,,,,105,105
emerald-shade,Emerald Shade,Size,36x48,Print Type,Canvas Roll,,,EMERALD-SHADE-CANVAS-ROLL-36X48,,,Printful,,,,not stocked,not stocked
emerald-shade,Emerald Shade,Size,53x72,Print Type,Canvas Roll,,,EMERALD-SHADE-CANVAS-ROLL-53X72,,,170 Avenue F,,,,45,45
emerald-shade,Emerald Shade,Size,53x72,Print Type,Canvas Roll,,,EMERALD-SHADE-CANVAS-ROLL-53X72,,,Printful,,,,not stocked,not stocked
emerald-shade,Emerald Shade,Size,24x36,Print Type,Gallery Wrapped Canvas,,,EMERALD-SHADE-GALLERY-WRAPPED-CANVAS-24X36,,,170 Avenue F,,,,150,150
emerald-shade,Emerald Shade,Size,24x36,Print Type,Gallery Wrapped Canvas,,,EMERALD-SHADE-GALLERY-WRAPPED-CANVAS-24X36,,,Printful,,,,not stocked,not stocked
emerald-shade,Emerald Shade,Size,36x48,Print Type,Gallery Wrapped Canvas,,,EMERALD-SHADE-GALLERY-WRAPPED-CANVAS-36X48,,,170 Avenue F,,,,105,105
